StateAbbr,PlaceName,PlaceFIPS,Binge rate,Cancer rate,Diabetes rate,Mental health rate,Obesity rate,Sleep rate
AL,Birmingham,107000,11.6,5.8,16.3,16.8,41.2,41.8
AL,Hoover,135896,15.4,6.7,8.4,11.5,28.8,32.8
AL,Huntsville,137000,13.3,6.7,11.8,15.1,35.5,38.3
AL,Mobile,150000,13.6,6.5,14.2,16.3,37.5,39.7
AL,Montgomery,151000,13.2,6.1,14.2,15.8,38.4,38.1
AL,Tuscaloosa,177256,15.5,4.7,10.2,16.4,35.9,41
AK,Anchorage,203000,20.3,5.4,7.3,11,34.2,30.7
AZ,Avondale,404720,18.2,4.3,8.9,13.5,31.2,37.3
AZ,Chandler,412000,18.9,5.5,7.3,11.2,26.4,34.4
AZ,Gilbert,427400,20.5,5.2,6.2,10.9,25.7,33.6
AZ,Glendale,427820,17,5.7,9.8,14.2,30.8,37.1
AZ,Mesa,446000,17,6.9,9.4,13.5,29.2,36
AZ,Peoria,454050,17.4,7.2,8.7,12.2,27.3,34.8
AZ,Phoenix,455000,17.2,5.4,9.5,13.9,31.1,36.8
AZ,Scottsdale,465000,16.7,8.5,8.2,10.5,24.8,32.3
AZ,Surprise,471510,16.6,8,9.3,12.5,27.8,35.3
AZ,Tempe,473000,19.8,4.7,6.5,12.5,26.1,35.3
AZ,Tucson,477000,15.8,5.9,9.7,14.4,28.6,34.6
AZ,Yuma,485540,18,5.8,11.1,13.6,36.3,31.8
AR,Fayetteville,523290,18.8,4.4,6.4,14.1,28.1,34.5
AR,Fort Smith,524550,14,6.5,12.4,17.1,33.5,35.4
AR,Jonesboro,535710,15.4,6.1,9.5,15.3,33.5,32.7
AR,Little Rock,541000,15.4,6.1,11,13.3,34.1,36.4
AR,Springdale,566080,16.2,5.3,9.8,16,32.9,36.3
CA,Alameda,600562,18.1,6.2,8.3,10.1,20.2,33.7
CA,Alhambra,600884,13.4,5,11.5,10.1,17.7,38
CA,Anaheim,602000,19.3,4.9,9.9,12.6,22.9,33.7
CA,Antioch,602252,18.4,5.4,9.7,13.5,27.7,35.4
CA,Apple Valley,602364,17,7.2,11.9,14.6,30.9,38.5
CA,Bakersfield,603526,17.9,5.2,9.9,14.2,29.2,36.9
CA,Baldwin Park,603666,17.7,4.1,11.1,12.6,25.3,37.4
CA,Bellflower,604982,18.2,4.8,9.9,12.8,25.8,37.8
CA,Berkeley,606000,20.7,5.1,6,10.4,20.4,32.5
CA,Buena Park,608786,17.8,5.1,10.4,11.8,20.8,34.1
CA,Burbank,608954,19.6,6.2,8,11.3,22,34
CA,Carlsbad,611194,20.9,7.4,7.4,9.9,20.4,30.2
CA,Carson,611530,15.6,5.3,11.7,11.2,23.3,38.8
CA,Chico,613014,20.8,5.5,7.1,14.1,25.1,33.4
CA,Chino,613210,19.8,4.6,9.4,12.1,28.3,37.4
CA,Chino Hills,613214,18.1,4.8,8.5,9.5,22.4,36.1
CA,Chula Vista,613392,18.8,5.1,10.4,11.7,24.1,34.1
CA,Citrus Heights,613588,20.4,6.8,9.2,14.1,30.4,35.6
CA,Clovis,614218,18.3,6,8.8,12.5,26.2,33.4
CA,Compton,615044,17,4.2,12.7,15.6,32.7,41.4
CA,Concord,616000,19.1,6.1,8.6,12.3,24.7,33.1
CA,Corona,616350,20,4.8,9.2,12.9,27,37.6
CA,Costa Mesa,616532,22.1,5.1,7.9,12.2,22,31.7
CA,Daly City,617918,13.9,5,10.3,9.4,17.1,34.9
CA,Downey,619766,18.9,5,9.6,11.8,24.8,35.5
CA,El Cajon,621712,19.7,6.1,10.1,15,26.9,35.3
CA,Elk Grove,622020,18.4,5.3,9.1,11.4,26.5,36.3
CA,El Monte,622230,15.4,4.2,12.8,13.9,25,39.3
CA,Escondido,622804,19.7,5.8,9.8,13.6,25.4,34.5
CA,Fairfield,623182,18.4,5.5,9.4,12.7,27.9,37.4
CA,Folsom,624638,22.1,6,7.1,10.5,26.2,33.1
CA,Fontana,624680,19,4.1,10.1,13.2,30.8,38.7
CA,Fremont,626000,17.6,5,7.5,8.4,16.9,34
CA,Fresno,627000,16.1,5.1,11.2,14.8,30.2,36.5
CA,Fullerton,628000,18.8,5.4,9,11.4,20,32.7
CA,Garden Grove,629000,16.5,4.9,11.5,12.2,20,35.6
CA,Glendale,630000,17.7,6.7,9.3,12.3,22.1,34.9
CA,Hawthorne,632548,17.9,4.3,10.3,13.4,28.6,39.2
CA,Hayward,633000,19.1,4.9,9.2,11.7,24.2,36.5
CA,Hemet,633182,15.3,8.4,13.8,16.4,30.1,39.8
CA,Hesperia,633434,18.1,5.5,11.5,15.5,32.8,39.1
CA,Huntington Beach,636000,20.8,6.6,8.3,11.2,20.3,30.8
CA,Indio,636448,17.7,5.8,12.1,14.8,30.8,38.5
CA,Inglewood,636546,16.6,4.8,12.4,14,31.8,40.7
CA,Irvine,636770,19.2,4.8,6.8,9.2,15.8,31.1
CA,Lake Forest,639496,21.5,5.6,7.8,10.5,20.1,30.6
CA,Lakewood,639892,18.9,5.8,8.6,11.1,22.1,35.7
CA,Lancaster,640130,19,5,10,14.4,28.3,38.4
CA,Livermore,641992,22.5,6.1,7,10.9,23.1,32.2
CA,Long Beach,643000,18.4,5,9.4,12.7,24.9,37.1
CA,Los Angeles,644000,18.2,5,10,12.8,25.2,36.6
CA,Lynwood,644574,18,3.6,11.4,15.4,31,39.1
CA,Manteca,645484,20.7,5.6,9.5,13.7,30.8,34.9
CA,Menifee,646842,17.9,7.6,11.2,13.5,27,37.9
CA,Merced,646898,17,5,11.6,15.7,29.7,37.6
CA,Milpitas,647766,13.6,4.4,8.8,8.6,15.6,33.5
CA,Mission Viejo,648256,20.6,7.1,8.1,10.4,19.6,29.9
CA,Modesto,648354,19,6.1,10.6,14.8,25.9,36.3
CA,Moreno Valley,649270,18.8,4.3,10.7,14.5,30.7,40.5
CA,Mountain View,649670,17.6,5.3,6.6,8.8,18.7,29.5
CA,Murrieta,650076,20.4,5.8,8.5,12.5,25.5,37
CA,Napa,650258,19.1,6.8,9.1,12.7,26.3,33
CA,Newport Beach,651182,20.8,7.8,7.3,9.4,18.2,28.2
CA,Norwalk,652526,18.1,4.7,10.6,12.3,25,36.8
CA,Oakland,653000,18.3,5.3,10.2,12.4,26.8,37
CA,Oceanside,653322,20.1,6.3,9.3,12.4,23.8,33.7
CA,Ontario,653896,18.9,4.4,10.4,13.5,31.1,38.5
CA,Orange,653980,21,5.5,8.5,11.8,21.3,31.9
CA,Oxnard,654652,17,4.5,11.4,14.1,26.1,36.7
CA,Palmdale,655156,18.6,4.6,10.3,14.4,28.5,38
CA,Pasadena,656000,18.3,5.8,8.7,10.8,22.3,34.5
CA,Perris,656700,18.9,3.7,10.9,15.4,32.4,40.8
CA,Pleasanton,657792,20.4,6.4,6.8,8.9,19.8,31.1
CA,Pomona,658072,18.1,4.3,10.6,13.6,27,37.7
CA,Rancho Cucamonga,659451,20.1,5.2,8.4,11.2,26.7,36.3
CA,Redding,659920,18.6,7.6,9.8,14.7,26.7,32.5
CA,Redlands,659962,18.5,6.5,9.4,12.2,26.7,35.9
CA,Redondo Beach,660018,21.6,5.9,6.3,9.3,19.7,31.7
CA,Redwood City,660102,18.8,5.7,7.9,10.9,23.3,31.2
CA,Rialto,660466,18,4.5,11.5,14.3,33.1,39.9
CA,Richmond,660620,16.5,5.2,11.3,13.5,28.9,37
CA,Riverside,662000,19.5,4.9,9.5,13.9,27.7,38.6
CA,Roseville,662938,19.2,6.7,7.9,11.6,21.7,31.2
CA,Sacramento,664000,17.8,5.5,10.7,13.5,30.2,37.7
CA,Salinas,664224,17.8,4.4,10.9,15,27,34.8
CA,San Bernardino,665000,16.5,4.7,13,16.4,35.1,41.1
CA,San Buenaventura (Ventura),665042,18.2,6.7,9.2,12.4,23.1,33.5
CA,San Diego,666000,20.5,5.4,8.4,11.3,21.8,33.2
CA,San Francisco,667000,20.8,5.3,8.6,10.2,17.8,30.3
CA,San Jose,668000,15.7,5,8.8,10.3,20.3,32.5
CA,San Leandro,668084,16.9,6,10.2,11.4,23,36.4
CA,San Marcos,668196,20.8,5.7,8.4,12,22.9,33.2
CA,San Mateo,668252,17.4,6.3,8.4,10.4,21.3,31.5
CA,San Ramon,668378,18.7,5.3,6.5,8.6,18.5,30.6
CA,Santa Ana,669000,19,3.9,11.3,14.4,26,35.2
CA,Santa Barbara,669070,19.6,6.5,8.3,11.5,25.7,27.7
CA,Santa Clara,669084,16.6,4.9,6.9,9.1,17.5,31
CA,Santa Clarita,669088,20.8,5.7,7.5,11.3,22.4,34
CA,Santa Maria,669196,18,5,10.8,15.2,30.8,31.6
CA,Santa Monica,670000,20.3,6.6,6.8,9.8,20.3,31.6
CA,Santa Rosa,670098,19.2,6.8,8.5,13,25.2,33.9
CA,Simi Valley,672016,19,6.1,8.4,11.8,21.6,33.5
CA,South Gate,673080,18.2,4,11.5,14.4,29.4,37.2
CA,Stockton,675000,17.2,5.1,11.8,14.4,31,37.6
CA,Sunnyvale,677000,15.6,5.3,7.1,8.4,17,30.4
CA,Temecula,678120,21.3,5.3,7.9,12,25,36.4
CA,Thousand Oaks,678582,17.8,7.2,8.5,10.9,20.4,32.2
CA,Torrance,680000,16.7,6.3,8.6,9.4,17.9,34.6
CA,Tracy,680238,21.1,4.8,8.6,12.3,28.8,34.7
CA,Turlock,680812,19.8,6,9.7,14.4,24.7,35.4
CA,Tustin,680854,19.8,4.8,8.3,11.1,20.5,32.2
CA,Union City,681204,16.4,4.8,9.3,9.5,18.4,36.3
CA,Upland,681344,18.4,6.1,9.6,12,27.5,36.8
CA,Vacaville,681554,20.6,5.9,8.6,12.5,28.3,35.9
CA,Vallejo,681666,15.8,5.7,11.3,12.5,27.7,38.9
CA,Victorville,682590,18.1,4.9,11.4,15,33.5,40.3
CA,Visalia,682954,18.8,5.8,9.8,14.3,28.9,32.7
CA,Vista,682996,21,5.3,8.9,13.2,25.1,34.3
CA,West Covina,684200,16.8,5.2,10.1,10.5,21.2,36.3
CA,Westminster,684550,14.7,5.5,12.7,12,18.5,36.2
CA,Whittier,685292,19.2,5.6,9.3,11.6,24.6,34.4
CO,Arvada,803455,19.8,7.1,7,11.4,21.6,26.9
CO,Aurora,804000,16.6,5.3,8.4,12.7,27,31.3
CO,Boulder,807850,19.8,4.7,4.6,10.4,15.1,24.5
CO,Centennial,812815,17.3,6.8,6.6,9.7,21.5,26.6
CO,Colorado Springs,816000,15.8,6.2,7.1,12.6,23.2,30.2
CO,Denver,820000,24,5.4,7.1,11.4,21,28.2
CO,Fort Collins,827425,22,5,5.1,11.6,21.2,26.7
CO,Greeley,832155,16.9,5.4,7.7,13.4,30.9,29.6
CO,Lakewood,843000,19.5,6.8,7.3,11.6,21.8,27.4
CO,Longmont,845970,17.1,6.3,7.2,11.4,18.2,25.8
CO,Loveland,846465,19.4,7.2,7.1,11.9,22.9,27
CO,Pueblo,862000,14.6,6.8,11.8,14.7,31.3,35.1
CO,Thornton,877290,19.6,4.8,7,12.1,27.7,30.6
CO,Westminster,883835,20.2,5.6,6.7,11.3,24.2,28.7
CT,Bridgeport,908000,15.6,5.2,10.8,13.5,29.2,40.1
CT,Danbury,918430,18.1,5.9,7.8,11.8,23.3,35.7
CT,Hartford,937000,12.9,4.5,13.4,16,36.7,41
CT,New Britain,950370,14.4,5.7,10.7,15.1,31.6,37.3
CT,New Haven,952000,17.3,4.8,10.6,14,34.1,40.8
CT,Norwalk,955990,17.6,6.4,8.1,10.5,23.5,34.7
CT,Stamford,973000,17.4,6.3,7.9,10,22.5,34.5
CT,Waterbury,980000,15.9,6.4,12.4,15.7,35.7,40.6
DE,Wilmington,1077580,15.2,5.7,14,16.8,39.3,43.1
DC,Washington,1150000,23.5,4.9,8.4,11.1,25.5,36.7
FL,Boca Raton,1207300,15.5,8.2,8.9,11.7,21.3,36.1
FL,Boynton Beach,1207875,13.5,8,11.8,14.6,26.6,41.5
FL,Cape Coral,1210275,16.6,7.5,11.2,14.4,28.1,33.9
FL,Clearwater,1212875,17.9,8,11.2,14.9,29.1,39.5
FL,Coral Springs,1214400,18.2,5.4,8.5,12.6,24.7,36
FL,Davie,1216475,18.2,5.8,8.5,12.6,23.8,35.1
FL,Deerfield Beach,1216725,15.1,7.8,11.7,15.2,27,38.5
FL,Deltona,1217200,16.2,6.5,11.9,15.3,33.4,38.2
FL,Fort Lauderdale,1224000,16.6,6.6,10.8,14.1,27.4,37.7
FL,Gainesville,1225175,18.1,4.1,7,14.8,28.5,38.5
FL,Hialeah,1230000,13.1,5.7,17.8,15.6,34.2,34.7
FL,Hollywood,1232000,16.1,6.5,11,14.1,26.9,37.1
FL,Jacksonville,1235000,17.4,6,11.2,14.4,32.7,38.1
FL,Lakeland,1238250,14.6,7.9,13.1,15.9,34.8,36.7
FL,Largo,1239425,16.7,9.2,12.2,15.4,28.7,39.8
FL,Lauderhill,1239550,13.3,5.8,14,16.8,34,44.7
FL,Melbourne,1243975,17,7.9,11.6,15.2,30.5,36.6
FL,Miami,1245000,14.6,5.4,15.2,15,33.1,35.2
FL,Miami Beach,1245025,17.6,5.7,10.4,12.1,27.5,31.1
FL,Miami Gardens,1245060,13.7,5,14.7,16.3,37.5,41.3
FL,Miramar,1245975,16.9,4.4,9.8,12.4,28,38.9
FL,Orlando,1253000,17.1,5,10,14,29.9,37.1
FL,Palm Bay,1254000,17.2,7,11.9,15.5,32.7,37.9
FL,Palm Coast,1254200,14.8,8.5,12.4,15.2,29.4,36.2
FL,Pembroke Pines,1255775,16.3,6.3,10.5,11.9,24.8,36.1
FL,Plantation,1257425,17.5,6.4,8.8,12,24,35.5
FL,Pompano Beach,1258050,15.1,7.3,11.9,15.6,28.3,39.3
FL,Port St. Lucie,1258715,16.3,7,11.1,14.6,31.8,37.6
FL,St. Petersburg,1263000,18.6,7.2,10.9,14.4,29.8,40.3
FL,Sunrise,1269700,15.7,6.4,11.2,13.7,26.9,38.5
FL,Tallahassee,1270600,18.4,4.3,7,13.7,30.9,34.2
FL,Tampa,1271000,17.5,5.7,10.6,14.8,30.7,35.5
FL,West Palm Beach,1276600,14.4,6.5,11.6,14.3,27.4,41.3
GA,Albany,1301052,11.9,5.7,14.9,16.2,40.6,47.5
GA,Athens,1303440,16.1,4.3,8.3,14.3,29.3,38.6
GA,Atlanta,1304000,18.4,4.9,10.3,12,29.9,38.3
GA,Augusta,1304204,14.1,5.7,13.4,14.9,37.8,42.8
GA,Columbus,1319000,14.5,5.8,12.6,14.3,37.7,41.6
GA,Johns Creek,1342425,18.4,5.6,7.1,8.5,20.7,32.1
GA,Macon,1349000,11.6,6,16.3,16.6,41.3,44.1
GA,Roswell,1367284,19.4,6.3,7.6,10.1,24.4,32.2
GA,Sandy Springs,1368516,19.5,5.9,7,10,24.1,32.8
GA,Savannah,1369000,14.6,5.5,12.1,14,35.9,41.9
GA,Warner Robins,1380508,15,5.4,10.9,14.3,38.2,38.7
HI,Honolulu,15003,19.3,5.4,11.2,10.5,23.4,47.4
ID,Boise City,1608830,16.8,6.2,7.4,11.9,27.7,27.8
ID,Meridian,1652120,17.7,5.9,6.8,11.6,27.9,27.5
ID,Nampa,1656260,14.8,6,9.4,14,35.9,32.9
IL,Arlington Heights,1702154,22.4,7.7,7.9,9.9,24,29.9
IL,Aurora,1703012,20.3,4.7,9.6,12.8,32.7,34
IL,Bloomington,1706613,20.7,6,8.4,11.9,32.2,33.1
IL,Bolingbrook,1707133,20.4,4.8,9.4,11.3,33.7,33.6
IL,Champaign,1712385,21.4,4.3,6.7,12.2,33.6,30.6
IL,Chicago,1714000,21.5,5,11,12.7,32.3,35.9
IL,Cicero,1714351,21.7,3.9,11.4,14.4,35.1,35.6
IL,Decatur,1718823,16.9,7.5,12.4,15.4,37.8,35.5
IL,Elgin,1723074,21,5.3,9.6,12.6,31,33.9
IL,Evanston,1724582,23.2,5.8,7.3,10.1,24.9,31.4
IL,Joliet,1738570,20.9,5.3,10,13.6,36.8,34.2
IL,Naperville,1751622,20.3,6,7.5,9.3,27.1,29.5
IL,Palatine,1757225,23.9,5.9,7.5,10.4,25.4,30.8
IL,Peoria,1759000,18.4,6.5,10.9,13.9,36.4,34.2
IL,Rockford,1765000,18.3,6.8,12.2,15.2,35.2,39.3
IL,Schaumburg,1768003,22.9,6.1,7.6,9.9,23.4,31.4
IL,Springfield,1772000,19,7.1,10.7,13.8,34.7,34.7
IL,Waukegan,1779293,18.1,4.7,12,14.4,35.2,37.5
IN,Bloomington,1805860,19.1,3.8,5.9,15.1,25.6,33.8
IN,Carmel,1810342,17.8,6.8,8.2,9.9,26.8,29.3
IN,Evansville,1822000,17.1,6.9,12.1,17.8,35.7,36.9
IN,Fishers,1823278,20.7,5.2,6.4,10.1,27.7,29.7
IN,Fort Wayne,1825000,16.8,6.4,11.2,15.6,35,32.9
IN,Gary,1827000,11.7,6.2,22.6,18.4,49.3,48.8
IN,Hammond,1831000,16.8,5.7,14,16.3,39.1,41.1
IN,Indianapolis,1836003,17.6,5.7,11.7,14.8,35.4,36.3
IN,Lafayette,1840788,19,6.1,10.2,16.4,35.2,34.5
IN,Muncie,1851876,15.4,5.7,10.6,17.9,35.6,37.8
IN,South Bend,1871000,16.9,6.5,12.5,16.7,37.9,40.8
IA,Cedar Rapids,1912000,21,6.9,8.5,11.8,33.9,28.4
IA,Davenport,1919000,20.5,6.5,10,12.8,37.8,30.6
IA,Des Moines,1921000,19.5,5.7,9.7,13.3,38.8,32.7
